route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,direction_name,trip_bikes_allowed,trip_headsign_short
1,S2_87550-0000001-0,19388224,La Mesa,0,900105,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87969-0000010-0,19490964,La Mesa,0,900105,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099538,La Mesa,0,900103,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383898,La Mesa,0,900103,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099539,La Mesa,0,900108,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383899,La Mesa,0,900108,S2_1_2_161,1,0,East,2,La Mesa
1,86485-0000001-0,19095058,La Mesa,0,900103,1_2_161,1,0,East,2,La Mesa
1,86486-0000010-0,19096955,La Mesa,0,900104,1_2_161,1,0,East,2,La Mesa
1,86733-0000010-0,19178536,La Mesa,0,900104,1_2_161,1,0,East,2,La Mesa
1,86735-0000001-0,19180427,La Mesa,0,900103,1_2_161,1,0,East,2,La Mesa
1,S2_87549-0000010-0,19386418,La Mesa,0,900104,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87550-0000001-0,19388220,La Mesa,0,900103,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87969-0000010-0,19490965,La Mesa,0,900104,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099540,La Mesa,0,900104,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383900,La Mesa,0,900104,S2_1_2_161,1,0,East,2,La Mesa
1,86485-0000001-0,19095055,La Mesa,0,900104,1_2_161,1,0,East,2,La Mesa
1,86486-0000010-0,19096958,La Mesa,0,900103,1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099541,La Mesa,0,900109,1_2_161,1,0,East,2,La Mesa
1,86733-0000010-0,19178539,La Mesa,0,900103,1_2_161,1,0,East,2,La Mesa
1,86735-0000001-0,19180424,La Mesa,0,900104,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383901,La Mesa,0,900109,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87549-0000010-0,19386421,La Mesa,0,900103,S2_1_2_161,1,0,East,2,La Mesa
